ddc_id	chembl_id	pot.(log,Ki)	pot.(nMol,Ki)	washed_kekule_smiles	 washed_openeye_smiles	washed_nonstereo_smiles	all_chembl_ids	no_chembl_ids	pots.(log, Ki)	Glaxo	Dundee	BMS	SureChEMBL	MLSMR	Inpharmatica	LINT	PAINS	exp_Glaxo	exp_Dundee	exp_BMS	exp_SureChEMBL	exp_MLSMR	exp_Inpharmatica	exp_LINT	exp_PAINS	smarts_Glaxo	smarts_Dundee	smarts_BMS	smarts_SureChEMBL	smarts_MLSMR	smarts_Inpharmatica	smarts_LINT	smarts_PAINS	MolWt
ddc_591920	CHEMBL1269290	7.46	35.0	CCN(CC)C=1C=CC=2C=C(C(=O)OC2C1)/C=C/C3=[N+](C=4C=CC=CC4C3(C)C)CCCCCC(=O)OC=5C=CC=C(C5)CCN6CCN(CC6)C=7C=CC=CC7OC	CCN(CC)c1ccc2cc(c(=O)oc2c1)/C=C/C3=[N+](c4ccccc4C3(C)C)CCCCCC(=O)Oc5cccc(c5)CCN6CCN(CC6)c7ccccc7OC	CCN(CC)c1ccc2cc(c(=O)oc2c1)C=CC3=[N+](c4ccccc4C3(C)C)CCCCCC(=O)Oc5cccc(c5)CCN6CCN(CC6)c7ccccc7OC	CHEMBL1269290	1	7.46	False	True	False	False	True	False	False	False		quaternary nitrogen			Long aliphatic chain					[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]			[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]				796.0449999999998
ddc_965433	CHEMBL1784935	8.05	9.0	CN(C)C1=CC=CC=2C1=CC=CC2S(=O)(=O)NCCCCCNCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)C=6C=CC=CC6OC	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCCNCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6ccccc6OC	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCCNCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6ccccc6OC	CHEMBL1784935	1	8.05	False	True	False	False	True	False	False	False		hydantoin			Hetero_hetero					C1NC(=O)NC(=O)1			*[N,S,O]-&!@[N,S,O][#6]				776.0609999999999
ddc_965431	CHEMBL1784933	8.3	5.0	CN(C)C=1C=CC=C2C1C=CC=C2S(=O)(=O)NCCCCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)C=6C=CC=C7C6C=CC=C7	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6cccc7c6cccc7	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6cccc7c6cccc7	CHEMBL1784933	1	8.3	True	True	False	False	True	False	False	False	I1 Aliphatic methylene chains 7 or more long	hydantoin			Hetero_hetero				[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0]	C1NC(=O)NC(=O)1			*[N,S,O]-&!@[N,S,O][#6]				753.0260000000001
ddc_965432	CHEMBL1784934	8.15	7.0	CN(C)C1=CC=CC=2C1=CC=CC2S(=O)(=O)NCCCCCNCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)C=6C=CC=CC6OC	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCCNCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6ccccc6OC	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCCNCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6ccccc6OC	CHEMBL1784934	1	8.15	False	True	False	False	True	False	False	False		hydantoin			Hetero_hetero					C1NC(=O)NC(=O)1			*[N,S,O]-&!@[N,S,O][#6]				748.0069999999998
ddc_965430	CHEMBL1784932	7.82	15.0	CN(C)C1=CC=CC=2C1=CC=CC2S(=O)(=O)NCCCCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)C=6C=CC=CC6OC	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6ccccc6OC	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6ccccc6OC	CHEMBL1784932	1	7.82	True	True	False	False	True	False	False	False	I1 Aliphatic methylene chains 7 or more long	hydantoin			Hetero_hetero				[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0]	C1NC(=O)NC(=O)1			*[N,S,O]-&!@[N,S,O][#6]				732.9920000000001
ddc_1807875	CHEMBL4216870	5.25	5650.0	C1=CC(=CC=C1C=2C=C(C=C3C2C=CC(=C3)C=4C=CC(=CC4)C(F)(F)F)C(=O)O)C5CCN(CC5)CCCCC6=CN(N=N6)CCCCCCN	c1cc(ccc1c2cc(cc3c2ccc(c3)c4ccc(cc4)C(F)(F)F)C(=O)O)C5CCN(CC5)CCCCc6cn(nn6)CCCCCCN	c1cc(ccc1c2cc(cc3c2ccc(c3)c4ccc(cc4)C(F)(F)F)C(=O)O)C5CCN(CC5)CCCCc6cn(nn6)CCCCCCN	CHEMBL4216870	1	5.25	False	True	False	False	True	False	False	False		Aliphatic long chain			Unbranched chain					[R0;D2][R0;D2][R0;D2][R0;D2]			[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]				697.8459999999994
ddc_356114	CHEMBL396349	8.77	1.7	COC=1C=CC=CC1N2CCN(CC2)CCC=3C=CC=C(C3)OCCCCCOC=4C=CC=C(C4)CCN5CCN(CC5)C=6C=CC=CC6OC	COc1ccccc1N2CCN(CC2)CCc3cccc(c3)OCCCCCOc4cccc(c4)CCN5CCN(CC5)c6ccccc6OC	COc1ccccc1N2CCN(CC2)CCc3cccc(c3)OCCCCCOc4cccc(c4)CCN5CCN(CC5)c6ccccc6OC	CHEMBL396349	1	8.77	False	True	False	False	True	False	False	False		Aliphatic long chain			Unbranched chain					[R0;D2][R0;D2][R0;D2][R0;D2]			[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]				692.9449999999999
ddc_965427	CHEMBL1784930	7.96	11.0	CN(C)C1=CC=CC=2C1=CC=CC2S(=O)(=O)NCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)C=6C=CC=CC6OC	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6ccccc6OC	CN(C)c1cccc2c1cccc2S(=O)(=O)NCCCCC34CCCN3C(=O)N(C4=O)CCCCN5CCN(CC5)c6ccccc6OC	CHEMBL1784930	1	7.96	False	True	False	False	True	False	False	False		hydantoin			Hetero_hetero					C1NC(=O)NC(=O)1			*[N,S,O]-&!@[N,S,O][#6]				690.9110000000002
ddc_1858624	CHEMBL4454523	5.76	1720.0	CC(C)NCC(COC=1C=CC=CC1CCCSCC(=O)NCCOCCOCCNC(=O)C2C(C(C2C(=O)O)C(=O)O)C(=O)O)O	CC(C)NCC(COc1ccccc1CCCSCC(=O)NCCOCCOCCNC(=O)C2C(C(C2C(=O)O)C(=O)O)C(=O)O)O	CC(C)NCC(COc1ccccc1CCCSCC(=O)NCCOCCOCCNC(=O)C2C(C(C2C(=O)O)C(=O)O)C(=O)O)O	CHEMBL4454523	1	5.76	False	True	True	False	True	False	False	False		Aliphatic long chain	gte_3_COOH		Unbranched chain					[R0;D2][R0;D2][R0;D2][R0;D2]	C(=O)[O;D1].C(=O)[O;D1].C(=O)[O;D1]		[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]				685.7930000000007
ddc_6022	CHEMBL493	7.62	24.0	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC=6C7=C(C=CC=C7NC6Br)C5=C4)C)O	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O	CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O	CHEMBL493	1	7.62	False	False	False	False	False	False	False	False																	654.6060000000002
